ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1017738,The Journal of Clinical Endocrinology & Metabolism,562,133,0.236654804,31689,27.87512535,107,1.394863773,0021-972X,1945-7197,Oxford University Press (OUP),Hybrid OA,3750,original,0,0,not for profit
jour.1103053,NeuroImage,670,133,0.198507463,31822,27.99211837,108,1.407899883,1053-8119,1095-9572,Elsevier,Gold OA,3540,original,0,0,for profit
jour.1017012,American Journal of Human Genetics,201,132,0.656716418,31954,28.10823173,109,1.420935993,0002-9297,1537-6605,Elsevier,Hybrid OA,5150,original,0,0,for profit
jour.1105433,Human Brain Mapping,328,130,0.396341463,32084,28.22258581,110,1.433972103,1065-9471,1097-0193,Wiley,Gold OA,3520,original,0,0,for profit
jour.1312220,The Journals of Gerontology Series B,258,129,0.5,32213,28.33606024,111,1.447008213,1079-5014,1758-5368,Oxford University Press (OUP),Hybrid OA,4408,original,0,0,not for profit
jour.1021346,Molecular Therapy,425,129,0.303529412,32342,28.44953467,112,1.460044323,1525-0016,1525-0024,Elsevier,Hybrid OA,4500,original,0,0,for profit
jour.1009554,Environmental Research,2493,129,0.051744886,32471,28.5630091,113,1.473080433,0013-9351,1096-0953,Elsevier,Hybrid OA,3880,original,0,0,for profit
jour.1050997,eNeuro,276,127,0.460144928,32598,28.67472423,114,1.486116543,0,2373-2822,Society for Neuroscience,Gold OA,3690,original,https://web.archive.org/web/20250814090219/https://www.eneuro.org/content/general-information#fees,"⁘  Research articles, History of Neuroscience, Societal Impact, Registered Reports, and Review articles: $3,180 (members); $3,690 (nonmembers).
⁘  Open Source Tools and Methods: $1,225.
⁘  Commentaries and opinions: $1,225 (members); $1,865 (nonmembers).",not for profit
jour.1319913,Cancer Research,363,127,0.349862259,32725,28.78643937,115,1.499152653,0008-5472,1538-7445,American Association for Cancer Research (AACR),Hybrid OA,8000,original,https://web.archive.org/web/20250522200823/https://aacrjournals.org/pages/publication-fees-and-reprints#openaccessfees,"Base publication fee: $2700, Display item fee $250 per item, APC CC BY-NC-ND $7000, APC CC BY $8000",not for profit
jour.1037414,ACS Chemical Biology,266,126,0.473684211,32851,28.89727485,116,1.512188763,1554-8929,1554-8937,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1096849,Development,337,126,0.37388724,32977,29.00811034,117,1.525224873,0950-1991,1477-9129,The Company of Biologists,Hybrid OA,5200,original,https://web.archive.org/web/20250708183238/https://journals.biologists.com/dev/pages/open-access#APC,0,not for profit
jour.1031548,The Journal of Physical Chemistry B,1148,126,0.109756098,33103,29.11894583,118,1.538260983,1520-6106,1520-5207,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1150756,Biomedicines,2995,125,0.041736227,33228,29.22890167,119,1.551297093,0,2227-9059,MDPI,Gold OA,3182.880974,converted from CHF,0,0,for profit
jour.1022098,AJP Heart and Circulatory Physiology,242,124,0.512396694,33352,29.33797787,120,1.564333203,0363-6135,1522-1539,American Physiological Society,Subscribe to Open (S2O),995,original,https://web.archive.org/web/20250608110506/https://journals.physiology.org/fees-oa,"flat fee for publishing: Research Articles and Methods and Resources: $995 (APS members: $895)
Short Reports: $650 (APS members: $585)",not for profit
jour.1113743,The Journals of Gerontology Series A,283,124,0.438162544,33476,29.44705406,121,1.577369313,1079-5006,1758-535X,Oxford University Press (OUP),Hybrid OA,4408,original,0,0,not for profit
jour.1033763,Nature Methods,304,124,0.407894737,33600,29.55613026,122,1.590405423,1548-7091,1548-7105,Springer Nature,Hybrid OA,12690,original,0,0,for profit
jour.1023439,Genome Biology,426,124,0.291079812,33724,29.66520645,123,1.603441533,1474-760X,1465-6906,Springer Nature,Gold OA,5490,original,0,0,for profit
jour.1045696,Frontiers in Oncology,4263,124,0.029087497,33848,29.77428265,124,1.616477643,0,2234-943X,Frontiers,Gold OA,3856.182718,converted from CHF,0,0,for profit
jour.1358108,Journal of the National Cancer Institute,251,123,0.490039841,33971,29.8824792,125,1.629513753,0027-8874,1460-2105,Oxford University Press (OUP),Hybrid OA,5436,original,0,0,not for profit
jour.1119333,Nicotine & Tobacco Research,229,122,0.532751092,34093,29.9897961,126,1.642549863,1462-2203,1469-994X,Oxford University Press (OUP),Hybrid OA,5392,original,0,0,not for profit
jour.1029963,Journal of Proteome Research,528,122,0.231060606,34215,30.097113,127,1.655585973,1535-3893,1535-3907,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
